"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B0FFH18766","大宁郁金香公园","风景名胜;公园广场;公园","110101","tour","广中西路288号(近共和新路)","121.443097","31.275776","121.4384859787016","31.27762798785285","021-56653804;021-66521776","上海市","上海市","静安区"
"B0015148C7","嘉定紫藤园","风景名胜;公园广场;公园","110101","tour","博乐路45","121.258719","31.379625","121.2542778209667","31.38158846375644","[]","上海市","上海市","嘉定区"
"B00156E2YG","月浦公园","风景名胜;公园广场;公园","110101","tour","月浦镇龙镇路6号","121.428703","31.4165","121.42405413010513","31.418282779415314","021-56649581","上海市","上海市","宝山区"
"B001507C88","博乐广场","风景名胜;公园广场;城市广场","110105","tour","嘉定镇","121.252135","31.384096","121.2476958239207","31.38605957759542","[]","上海市","上海市","嘉定区"
"B00156CLWX","东滩湿地公园","风景名胜;公园广场;公园","110101","tour","东旺路","121.951233","31.516967","121.9470589579721","31.519023472756196","021-39367000;021-39367042","上海市","上海市","崇明区"
"B00156DZL9","高东镇樱花园","风景名胜;公园广场;公园广场","110100","tour","光耀路300号","121.618575","31.326725","121.61435961079123","31.328878358283404","[]","上海市","上海市","浦东新区"
"B00155N8BY","凤凰公园","风景名胜;公园广场;公园","110101","tour","凤环路与长兴江南大道交叉口东北100米","121.695726","31.389363","121.69137846426388","31.391369166464695","[]","上海市","上海市","崇明区"
"B0FFKZLKXM","健康主题公园","风景名胜;公园广场;公园","110101","tour","北陈公路与裕福路交叉路口往东北约100米","121.830981","31.523127","121.82672367324797","31.525152300214728","[]","上海市","上海市","崇明区"
"B001559IQ9","高桥公园","风景名胜;公园广场;公园","110101","tour","花山路482号","121.572777","31.345578","121.56854502312872","31.34772014496443","021-58676058","上海市","上海市","浦东新区"
"B00154DQQ7","复兴岛公园","风景名胜;公园广场;公园","110101","tour","共青路386号","121.562352","31.286431","121.55810679488472","31.28858141990371","021-65683806","上海市","上海市","杨浦区"
"B0FFHUM9TJ","陈家镇自行车公园","风景名胜;公园广场;公园","110101","tour","东滩大道与东新路交叉口西280米","121.840492","31.482105","121.8362623849663","31.484154130018965","[]","上海市","上海市","崇明区"
"B001559IL3","高东公园","风景名胜;公园广场;公园","110101","tour","光灿路118号(光明路光灿路)","121.625093","31.32739","121.62087170785088","31.32953677058543","[]","上海市","上海市","浦东新区"
"B0GR3LK1FA","陈家镇社区文化活动中心室外公共广场","风景名胜;公园广场;城市广场","110105","tour","陈家镇裕国路388号","121.842458","31.522137","121.83822994849919","31.52418366759741","[]","上海市","上海市","崇明区"
"B0FFLKNOYX","晨光村健身广场","风景名胜;公园广场;城市广场","110105","tour","锦陈路与展晨公路交叉路口北侧","121.801761","31.529079","121.79743067846677","31.53105087095058","[]","上海市","上海市","崇明区"
"B00155K9Z4","外高桥市民广场","风景名胜;公园广场;城市广场","110105","tour","夏碧路261号","121.587623","31.337743","121.58340808883757","31.339899439829527","[]","上海市","上海市","浦东新区"
"B0IG9RCPUN","街心·花园","风景名胜;公园广场;公园","110101","tour","北滧公路与诚忠路交叉口东北180米","121.760087","31.517640","121.75569140219334","31.519569311892067","[]","上海市","上海市","崇明区"
"B0FFG95WBE","世纪大道崇明岛","风景名胜;公园广场;植物园","110103","tour","永兴路与界子路交叉口东北50米","121.798936","31.555954","121.79459710400076","31.55791868031115","[]","上海市","上海市","崇明区"
"B0FFK6SZA1","鲁玙市民公园","风景名胜;公园广场;公园","110101","tour","合五公路3147号","121.694889","31.569593","121.69052757138242","31.57156835487726","[]","上海市","上海市","崇明区"
"B00155IOKX","上海书院人家","风景名胜;公园广场;公园","110101","tour","临港大道3500弄29号","121.892961","30.940809","121.88887217291082","30.943165082185278","021-58061111;021-58067777;021-58069580","上海市","上海市","浦东新区"
"B00152F15F","上海野生动物园","风景名胜;公园广场;动物园","110102","tour","南六公路178号","121.721793","31.055337","121.7174393918746","31.05745955369323","021-61180000;021-58036000;021-58036658","上海市","上海市","浦东新区"
