"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"B0FFG8CT8C","上海新纪元双语学校","科教文化服务;学校;中学","141202","[]","陈家镇陈西村1518号","121.784762","31.506607","121.7803991123088","31.508557582833145","021-59437525","上海市","上海市","崇明区"
"B00156CLFI","上海外国语大学贤达经济人文学院崇明校区","科教文化服务;学校;高等院校","141201","[]","中滨路1333号","121.832783","31.485316","121.8285334892214","31.487350280106828","021-51278024","上海市","上海市","崇明区"
"B0FFMCMNCQ","裕安小学","科教文化服务;学校;小学","141203","[]","前哨公路42弄54号","121.877625","31.52384","121.8734701709376","31.525937566465533","[]","上海市","上海市","崇明区"
"B00155FHYE","合兴小学","科教文化服务;学校;小学","141203","[]","港沿镇合五公路3821号","121.707182","31.579895","121.70280062154175","31.58185018587585","021-59456693","上海市","上海市","崇明区"
"B001503D51","崇明区堡镇小学(南校区)","科教文化服务;学校;小学","141203","[]","堡镇南路358号","121.616993","31.531411","121.61276171005662","31.533516357677566","021-59418036","上海市","上海市","崇明区"
"B00155IKSB","上海理工大学军工路校区","科教文化服务;学校;高等院校","141201","[]","军工路470号","121.555588","31.291341","121.55132785859963","31.293477977789067","[]","上海市","上海市","杨浦区"
"B00156CLF6","新桥幼儿园(奚渔路)","科教文化服务;学校;幼儿园","141204","[]","陈家镇朝阳村12队890号","121.795723","31.478673","121.79138376238613","31.480642943178893","[]","上海市","上海市","崇明区"
"B00155QBRI","上海理工大学军工路南校区","科教文化服务;学校;高等院校","141201","[]","军工路334号","121.557747","31.287192","121.55349206701729","31.289334510022208","021-55277040","上海市","上海市","杨浦区"
"B0FFFA006P","上海市崇明区裕安小学安通校区","科教文化服务;学校;小学","141203","[]","陈家镇安通路1201号","121.849698","31.531802","121.84548677317223","31.533860224841217","[]","上海市","上海市","崇明区"
"B00156CNTY","上海立信会计金融学院浦东校区","科教文化服务;学校;高等院校","141201","[]","曹路镇上川路995号","121.654912","31.278717","121.65065042479375","31.28083817641931","021-68682515;021-50218899","上海市","上海市","浦东新区"
"B001508407","民本中学","科教文化服务;学校;中学","141202","[]","向阳路216","121.613561","31.533873","121.60933164648456","31.53598059644981","021-59417010","上海市","上海市","崇明区"
"B00155L2FX","高桥镇小学","科教文化服务;学校;小学","141203","[]","花山路789号(花山路欧高公路)","121.578771","31.349575","121.57454667817537","31.351721649430687","021-58614683;021-58618152","上海市","上海市","浦东新区"
"B0FFLG7E4Y","社区家长学校","科教文化服务;学校;学校|科教文化服务;培训机构;培训机构","141200|141400","[]","裕展路与裕洲路交叉口北80米","121.851767","31.528333","121.84756093139912","31.53039510960793","[]","上海市","上海市","崇明区"
"B00156EEBM","合作幼儿园(小星公路)","科教文化服务;学校;幼儿园","141204","[]","庙镇猛将庙小星公路1100号","121.368858","31.740259","121.3641882768203","31.74202930120148","021-59382106","上海市","上海市","崇明区"
"B0FFHF5EEA","上海市崇明区庙镇学校三乐校区","科教文化服务;学校;中学","141202","[]","庙镇合作公路1247号崇明区","121.364354","31.739191","121.35969153303253","31.74096723459876","[]","上海市","上海市","崇明区"
"B00155N8L6","上海市崇明中学","科教文化服务;学校;中学","141202","[]","城桥镇鼓浪屿路801号","121.416447","31.640365","121.41176502834202","31.642110185398717","021-69672018","上海市","上海市","崇明区"
"B0FFH9B6OP","崇明区庙镇幼儿园","科教文化服务;学校;幼儿园","141204","[]","庙镇庙中路80号","121.350400","31.714974","121.34576573974007","31.71676970365276","021-59361697","上海市","上海市","崇明区"
"B0GURUOPFX","上海市崇明区庙镇成人中等文化技术学校","科教文化服务;学校;成人教育","141205","[]","庙镇庙中路82号","121.350237","31.715561","121.34560302137561","31.717357038797562","[]","上海市","上海市","崇明区"
"B00155FHOL","崇明区实验中学(宏达校区)","科教文化服务;学校;中学","141202","[]","宏海路2号","121.376328","31.676496","121.3716536871504","31.678252143580746","[]","上海市","上海市","崇明区"
"B001503C93","崇明区实验小学","科教文化服务;学校;小学","141203","[]","江口镇宏海公路298号(近陈海公路)","121.359935","31.68246","121.35528521261078","31.68423769800373","021-69361659","上海市","上海市","崇明区"
"B0G2TA2JAF","上海市崇明区庙镇学校","科教文化服务;学校;中学","141202","[]","庙镇宏海公路2026号","121.346554","31.716158","121.34192764245128","31.717960550221598","021-59361736","上海市","上海市","崇明区"
