area,title,position,community,total_price,size
静安区,整租·泉灵小区 1室1厅 南,彭浦,泉灵小区,3900.0,41.00
静安区,整租·绿色丽园 1室1厅 南,大宁,绿色丽园,6800.0,54.67
静安区,整租·君御豪庭 2室2厅 南,江宁路,君御豪庭,16500.0,89.67
静安区,整租·象屿大宁悦府 2室1厅 南/北,大宁,象屿大宁悦府,15500.0,119.37
静安区,整租·龙盛佳苑 2室1厅 南,阳城,龙盛佳苑,8000.0,72.00
静安区,整租·明园森林都市 3室2厅 西南,大宁,明园森林都市,15000.0,121.15
静安区,整租·大宁新村 1室1厅 南,大宁,大宁新村,5500.0,33.90
静安区,整租·共康四村 1室1厅 南,彭浦,共康四村,4900.0,37.52
静安区,整租·中凯城市之光(静安) 1室1厅 西南,南京西路,中凯城市之光(静安),12500.0,56.98
静安区,整租·康华楼 2室2厅 南,江宁路,康华楼,14000.0,80.85
静安区,整租·重华新村 1室1厅 西北,南京西路,重华新村,4000.0,13.40
静安区,整租·上大东村 2室1厅 南/北,大宁,上大东村,6200.0,57.00
静安区,整租·爱文坊 1室1厅 南,南京西路,爱文坊,6400.0,30.58
静安区,整租·骏豪国际 1室1厅 东南,南京西路,骏豪国际,14800.0,59.06
静安区,整租·华山路421弄 4室2厅 南,静安寺,华山路421弄,40000.0,167.40
静安区,整租·润府 2室2厅 南,西藏北路,润府,23000.0,89.00
静安区,整租·润府 3室2厅 南,西藏北路,润府,30000.0,91.00
静安区,整租·胶州大楼 2室2厅 西南,静安寺,胶州大楼,17000.0,115.19
静安区,整租·润府 3室2厅 南,西藏北路,润府,28000.0,91.00
静安区,整租·润府 2室2厅 南,西藏北路,润府,27000.0,87.00
静安区,整租·艾格美国际公寓 2室2厅 南,南京西路,艾格美国际公寓,28000.0,123.60
静安区,整租·静安凤凰苑 3室2厅 南,江宁路,静安凤凰苑,25800.0,146.00
静安区,整租·大沽路541-547号(单) 1室1厅 南,南京西路,大沽路541-547号(单),6250.0,37.88
静安区,整租·润府 2室2厅 南,西藏北路,润府,26000.0,89.00
静安区,整租·华业小区 2室2厅 南,南京西路,华业小区,6800.0,29.00
静安区,整租·华业小区 2室1厅 南,南京西路,华业小区,9000.0,51.90
静安区,整租·光华坊 2室0厅 南/北,西藏北路,光华坊,6600.0,49.00
静安区,整租·上工新村 2室1厅 南,大宁,上工新村,7000.0,50.00
静安区,整租·延安中路955弄 1室0厅 西,静安寺,延安中路955弄,4500.0,20.00
静安区,整租·上海滩大宁城(公寓) 3室2厅 南,大宁,上海滩大宁城(公寓),13000.0,96.29
静安区,整租·华山路421弄 4室2厅 南,静安寺,华山路421弄,40000.0,167.40
静安区,整租·润府 2室2厅 南,西藏北路,润府,23000.0,89.00
静安区,整租·润府 3室2厅 南,西藏北路,润府,30000.0,91.00
静安区,整租·胶州大楼 2室2厅 西南,静安寺,胶州大楼,17000.0,115.19
静安区,整租·润府 3室2厅 南,西藏北路,润府,28000.0,91.00
静安区,整租·润府 2室2厅 南,西藏北路,润府,27000.0,87.00
静安区,整租·艾格美国际公寓 2室2厅 南,南京西路,艾格美国际公寓,28000.0,123.60
静安区,整租·静安凤凰苑 3室2厅 南,江宁路,静安凤凰苑,25800.0,146.00
静安区,整租·大沽路541-547号(单) 1室1厅 南,南京西路,大沽路541-547号(单),6250.0,37.88
静安区,整租·润府 2室2厅 南,西藏北路,润府,26000.0,89.00
静安区,整租·骏豪国际 1室1厅 东南,南京西路,骏豪国际,16500.0,66.34
静安区,整租·大宁金茂府 3室2厅 南,大宁,大宁金茂府,27000.0,129.00
静安区,整租·嘉园 2室2厅 南,静安寺,嘉园,17800.0,90.76
静安区,整租·达安花园 2室1厅 南,曹家渡,达安花园,13500.0,82.02
静安区,整租·华业小区 2室1厅 南,南京西路,华业小区,9000.0,51.90
静安区,整租·国际丽都城 3室2厅 南/北,南京西路,国际丽都城,32000.0,177.00
静安区,整租·光华坊 2室0厅 南/北,西藏北路,光华坊,6600.0,49.00
静安区,整租·歌林春天馨园 5室2厅 南,大宁,歌林春天馨园,19000.0,182.12
静安区,整租·长城小区 2室1厅 南,曹家渡,长城小区,7500.0,50.82
静安区,整租·骏豪国际 1室1厅 南,南京西路,骏豪国际,8800.0,50.54
静安区,整租·静安别墅 1室1厅 东南/南,南京西路,静安别墅,8500.0,27.00
静安区,整租·泉灵小区 2室1厅 南/北,彭浦,泉灵小区,5300.0,52.96
静安区,整租·艾格美国际公寓 1室1厅 南,南京西路,艾格美国际公寓,15300.0,67.66
静安区,整租·艾格美国际公寓 2室1厅 南/北,南京西路,艾格美国际公寓,23000.0,139.25
静安区,整租·宝格丽酒店公寓 3室2厅 东,西藏北路,宝格丽酒店公寓,83000.0,199.02
静安区,整租·华侨城苏河湾行政公馆 3室2厅 东南,西藏北路,华侨城苏河湾行政公馆,43000.0,223.00
静安区,整租·静安别墅 2室1厅 南,南京西路,静安别墅,10000.0,21.20
静安区,整租·富民新邨(静安) 1室1厅 南,静安寺,富民新邨(静安),9200.0,30.00
静安区,整租·太和小区 1室1厅 南,南京西路,太和小区,5700.0,32.48
静安区,整租·永昌大厦 2室1厅 南,江宁路,永昌大厦,14500.0,110.39
静安区,整租·延长小区(闸北) 2室1厅 东南,大宁,延长小区(闸北),7500.0,45.10
静安区,整租·骏豪国际 1室1厅 东,南京西路,骏豪国际,7700.0,50.95
静安区,整租·向新新村 2室1厅 南,江宁路,向新新村,8900.0,57.98
静安区,整租·上海滩大宁城(公寓) 3室2厅 南,大宁,上海滩大宁城(公寓),13000.0,96.29
静安区,整租·石门二路170弄 1室1厅 北,南京西路,石门二路170弄,6000.0,28.80
静安区,整租·达安城 3室2厅 南,南京西路,达安城,18500.0,116.56
静安区,整租·古柏小区 1室1厅 南,静安寺,古柏小区,12000.0,28.60
静安区,整租·新福康里(公寓) 3室2厅 南,南京西路,新福康里(公寓),19600.0,142.41
静安区,整租·南星小区 1室1厅 南,西藏北路,南星小区,5500.0,58.33
静安区,整租·静安天御 2室2厅 南,不夜城,静安天御,27500.0,84.00
静安区,整租·艾格美国际公寓 2室2厅 南/北,南京西路,艾格美国际公寓,30000.0,139.53
静安区,整租·爱文坊 2室1厅 南/北,南京西路,爱文坊,8200.0,60.62
静安区,整租·柳营路1025弄 1室0厅 南,大宁,柳营路1025弄,4200.0,34.63
静安区,整租·泰兴路362弄 2室1厅 南,南京西路,泰兴路362弄,9500.0,41.05
静安区,整租·愚园路608弄 2室2厅 南,静安寺,愚园路608弄,11700.0,45.48
静安区,整租·愚园路488弄 1室0厅 东北,静安寺,愚园路488弄,6500.0,30.00
静安区,整租·静安风华苑 2室2厅 西南,曹家渡,静安风华苑,23000.0,122.77
静安区,整租·华业小区 1室0厅 南,南京西路,华业小区,5300.0,19.00
静安区,整租·绿地海悦 2室1厅 西北/北,西藏北路,绿地海悦,7300.0,60.00
静安区,整租·王家沙花苑 1室1厅 南,南京西路,王家沙花苑,7400.0,34.00
静安区,整租·奉贤路193-195号(单) 2室1厅 南/北,南京西路,奉贤路193-195号(单),9700.0,61.00
静安区,整租·静安府西区 3室2厅 南,大宁,静安府西区,17500.0,91.75
静安区,整租·新福康里(公寓) 2室1厅 南,南京西路,新福康里(公寓),9500.0,75.08
静安区,整租·共和新路2169弄 1室1厅 南,大宁,共和新路2169弄,4700.0,32.38
静安区,整租·君御豪庭 3室2厅 南,江宁路,君御豪庭,30000.0,160.58
静安区,整租·荣康别墅 1室0厅 南,静安寺,荣康别墅,6500.0,15.30
静安区,整租·巨鹿路546弄 3室1厅 南,静安寺,巨鹿路546弄,19800.0,100.00
静安区,整租·新福康里(公寓) 2室2厅 南/北,南京西路,新福康里(公寓),15000.0,91.05
静安区,整租·象屿大宁悦府 3室1厅 南,大宁,象屿大宁悦府,17000.0,114.45
静安区,整租·润府 3室2厅 南,西藏北路,润府,25000.0,95.66
静安区,整租·静安府西区 4室2厅 南,大宁,静安府西区,22000.0,135.00
静安区,整租·又一村(静安) 2室1厅 南/北,江宁路,又一村(静安),9000.0,32.83
静安区,整租·静安府西区 3室2厅 南/北,大宁,静安府西区,23800.0,116.26
静安区,整租·中凯城市之光(静安) 3室2厅 南/北,南京西路,中凯城市之光(静安),27000.0,143.37
静安区,整租·平型关路260弄 2室0厅 南/北,闸北公园,平型关路260弄,5500.0,38.09
静安区,整租·和源大楼 1室0厅 东/东北,闸北公园,和源大楼,4500.0,43.55
静安区,整租·广电大楼 1室1厅 西,静安寺,广电大楼,7900.0,38.75
静安区,整租·金昌大厦 2室1厅 东南/南,江宁路,金昌大厦,10000.0,78.35
静安区,整租·蓝朝部落 1室1厅 东北,曹家渡,蓝朝部落,5000.0,29.82
静安区,整租·一天下大厦 1室0厅 南,不夜城,一天下大厦,7200.0,43.68
静安区,整租·同济佳苑 1室1厅 西/西北,曹家渡,同济佳苑,7500.0,48.50
静安区,整租·中心铂庭 1室1厅 北,西藏北路,中心铂庭,5400.0,37.54
静安区,整租·四和花园 1室1厅 东南,曹家渡,四和花园,8500.0,50.33
静安区,整租·华侨城苏河湾行政公馆 3室2厅 东/南,西藏北路,华侨城苏河湾行政公馆,29000.0,163.00
静安区,整租·三和花园 3室2厅 北,曹家渡,三和花园,17800.0,123.83
静安区,整租·润府 3室2厅 南,西藏北路,润府,28000.0,95.66
静安区,整租·润府 3室2厅 南,西藏北路,润府,23800.0,91.00
静安区,整租·骏豪国际 1室1厅 南,南京西路,骏豪国际,9500.0,53.32
静安区,整租·静安枫景苑 3室2厅 南,江宁路,静安枫景苑,23000.0,105.75
静安区,整租·达安花园 3室2厅 南/北,曹家渡,达安花园,22000.0,147.52
静安区,整租·振安广场 4室2厅 东/南,南京西路,振安广场,26000.0,226.01
静安区,整租·二轻小区 1室1厅 南,西藏北路,二轻小区,4900.0,33.87
静安区,整租·永和二村 1室1厅 南,永和,永和二村,4300.0,43.81
静安区,整租·北京西路810-820号(双) 1室1厅 南,南京西路,北京西路810-820号(双),8500.0,45.88
静安区,整租·万荣小区 2室1厅 南/北,阳城,万荣小区,6000.0,53.27
静安区,整租·同济佳苑 1室1厅 南,曹家渡,同济佳苑,8200.0,60.00
静安区,整租·康定大厦 3室2厅 南,江宁路,康定大厦,13500.0,111.93
静安区,整租·骏豪国际 1室1厅 西,南京西路,骏豪国际,10000.0,49.11
静安区,整租·蓝朝部落 1室1厅 南,曹家渡,蓝朝部落,7900.0,43.33
静安区,整租·南阳小区 2室1厅 南,南京西路,南阳小区,11000.0,66.70
静安区,整租·万春小区 1室1厅 南,曹家渡,万春小区,6300.0,48.22
静安区,整租·上海壹街区 2室2厅 南,南京西路,上海壹街区,18000.0,124.60
静安区,整租·荣康别墅 3室3厅 南,静安寺,荣康别墅,20000.0,83.53
静安区,整租·泰兴路355弄 1室1厅 南,南京西路,泰兴路355弄,12800.0,63.66
静安区,整租·世纪时空大厦 1室1厅 南,静安寺,世纪时空大厦,9800.0,48.00
静安区,整租·中山北路805弄 2室0厅 南/北,大宁,中山北路805弄,7000.0,50.02
静安区,整租·太平花园 3室2厅 南/北,南京西路,太平花园,36000.0,123.50
静安区,整租·骏豪国际 1室1厅 东/北,南京西路,骏豪国际,9500.0,53.30
静安区,整租·国际丽都公馆 1室1厅 西北,静安寺,国际丽都公馆,15000.0,57.68
静安区,整租·润府 3室2厅 南,西藏北路,润府,26000.0,96.00
静安区,整租·润府 3室2厅 南,西藏北路,润府,35000.0,91.00
静安区,整租·临汾名城 2室1厅 南,彭浦,临汾名城,7800.0,98.79
静安区,整租·静安枫景苑 1室2厅 南,江宁路,静安枫景苑,16000.0,70.85
静安区,整租·三和花园 3室2厅 西北/北,曹家渡,三和花园,19000.0,126.24
静安区,整租·长乐路672弄 4室2厅 复式 南,静安寺,长乐路672弄,26000.0,68.40
静安区,整租·骏豪国际 1室1厅 西北/北,南京西路,骏豪国际,10000.0,51.43
静安区,整租·骏豪国际 1室1厅 南,南京西路,骏豪国际,11500.0,53.02
静安区,整租·晋元里 2室1厅 北,曹家渡,晋元里,7300.0,55.41
静安区,整租·企业公馆 2室2厅 北,不夜城,企业公馆,26500.0,168.61
静安区,整租·康定路389号 1室1厅 南,江宁路,康定路389号,8000.0,36.21
静安区,整租·宁馨苑 3室2厅 南,静安寺,宁馨苑,50000.0,171.00
静安区,整租·圣和静安公馆 3室2厅 南,西藏北路,圣和静安公馆,24000.0,102.82
静安区,整租·象山小区 2室0厅 南,西藏北路,象山小区,6500.0,53.83
静安区,整租·静安府西区 3室2厅 南,大宁,静安府西区,19000.0,93.98
静安区,整租·德安大厦 4室2厅 东南,江宁路,德安大厦,33000.0,208.49
静安区,整租·富民公寓 3室2厅 南,静安寺,富民公寓,22000.0,135.41
