,latlng
0,"闵行区园艺新村('121.357999', '31.145823')"
1,"闵行区万源城御璄('121.397632', '31.149393')"
2,"闵行区莲花新村('121.414810', '31.112325')"
3,"闵行区上海星河湾('121.408216', '31.088055')"
4,"金山区水韵悦城('121.329688', '30.746848')"
5,"金山区赞成红树林('121.332469', '30.750381')"
6,"金山区绿地玲珑寓('121.314742', '30.748139')"
7,"金山区金天地花园('121.349617', '30.732428')"
8,"金山区万盛金邸('121.338713', '30.752558')"
9,"金山区御景龙庭('121.323989', '30.732200')"
10,"金山区海棠新村('121.348416', '30.720236')"
11,"金山区绿地东海岸财富广场('121.316689', '30.747879')"
12,"金山区华发招商依云四季('121.021860', '30.909551')"
13,"金山区君逸公馆('121.331935', '30.743989')"
14,"金山区海棠新村('121.348416', '30.720236')"
15,"金山区绿地金卫新家园（西区）('121.310498', '30.743660')"
16,"金山区三岛龙州苑('121.343467', '30.734617')"
17,"金山区新华御湖上园('121.316758', '30.831360')"
18,"金山区依云湖('121.317102', '30.827410')"
19,"金山区宝华海湾城('121.351160', '30.737474')"
20,"金山区华发招商依云四季('121.021860', '30.909551')"
21,"金山区山鑫阳光城('121.347155', '30.727624')"
22,"金山区飞虹北村('121.315873', '30.728099')"
23,"金山区海棠新村('121.348416', '30.720236')"
24,"金山区华发招商依云四季('121.021860', '30.909551')"
25,"金山区绿地金卫新家园（西区）('121.310498', '30.743660')"
26,"金山区辰凯花苑('121.340847', '30.725963')"
27,"金山区山鑫阳光城('121.347155', '30.727624')"
28,"金山区海棠新村('121.348416', '30.720236')"
29,"金山区山康花苑('121.310583', '30.738696')"
30,"金山区金海岸花园('121.356775', '30.727915')"
31,"金山区中冶墅境('121.018649', '30.907442')"
32,"金山区绿地金山名邸('121.317694', '30.749594')"
33,"金山区山鑫康城('121.361143', '30.730345')"
34,"金山区海上纳缇('121.326585', '30.752354')"
35,"金山区东泉新村('121.347378', '30.724319')"
36,"金山区临潮二村('121.350396', '30.717783')"
37,"金山区临潮三村('121.351501', '30.718763')"
38,"金山区赞成红树林('121.332469', '30.750381')"
39,"金山区华发招商依云四季('121.021860', '30.909551')"
40,"金山区山龙新村('121.338178', '30.729058')"
41,"金山区梅州大楼('116.122046', '24.288832')"
42,"金山区华发招商依云四季('121.021860', '30.909551')"
43,"金山区临波大楼('121.352758', '30.716453')"
44,"金山区金山豪庭('121.353314', '30.734121')"
45,"金山区华发招商依云四季('121.021860', '30.909551')"
46,"金山区海棠新村('121.348416', '30.720236')"
47,"金山区飞虹南村('121.315804', '30.725654')"
48,"金山区广厦大楼('121.343322', '30.717640')"
49,"金山区绿地漕泾新苑('121.403240', '30.798100')"
50,"金山区御景龙庭('121.323989', '30.732200')"
51,"金山区宝华海湾城('121.351160', '30.737474')"
52,"金山区海上明珠园('121.357517', '30.723175')"
53,"金山区蓝色收获龙宇路999弄('121.358323', '30.741187')"
54,"金山区石化十一村('121.341683', '30.709049')"
55,"金山区绿地东海岸财富广场('121.316689', '30.747879')"
56,"金山区华发招商依云四季('121.021860', '30.909551')"
57,"金山区宝华海湾城('121.351160', '30.737474')"
58,"金山区梅州新村('121.339651', '30.717479')"
59,"金山区蓝色收获板桥东路1200弄（金荷雅苑）('121.356289', '30.737917')"
60,"金山区绿地金山名邸('121.317694', '30.749594')"
61,"金山区石化十三村(金山)('121.347767', '30.710451')"
62,"金山区海欣家园('121.348838', '30.760407')"
63,"金山区梅州新村('121.339651', '30.717479')"
64,"金山区正荣御首府('121.318855', '30.745740')"
65,"金山区海上纳缇('121.326585', '30.752354')"
66,"金山区蓝色收获龙宇路999弄('121.358323', '30.741187')"
67,"金山区山鑫康城('121.361143', '30.730345')"
68,"金山区山康花苑('121.310583', '30.738696')"
69,"金山区绿地金卫新家园（西区）('121.310498', '30.743660')"
70,"金山区华发招商依云四季('121.021860', '30.909551')"
71,"金山区梅州新村('121.339651', '30.717479')"
72,"金山区东礁四村('121.343574', '30.722479')"
73,"金山区华发招商依云四季('121.021860', '30.909551')"
74,"金山区合生财富海景公馆('121.352821', '30.725744')"
75,"金山区绿地东海岸财富广场('121.316689', '30.747879')"
76,"金山区滨海三村('121.325487', '30.729072')"
77,"金山区东礁一村('121.339116', '30.723239')"
