id_left,airbnb_counts,ave_airbnb_price,hotel_counts,bus_counts,tube_counts,mall_counts,school_counts,park_counts,att_counts,train_counts,airport_counts,trans
2,0,,0,0,0,0,0,0,0,0,0,0
3,0,,0,0,0,0,0,0,0,0,0,0
4,0,,0,1,0,0,0,0,0,0,0,1
5,0,,0,0,0,0,0,0,0,0,0,0
21,0,,0,0,0,2,0,0,0,0,0,0
22,3,2882.6666666666665,0,7,0,8,0,0,0,0,0,7
30,0,,0,0,0,0,0,0,0,0,0,0
31,0,,0,0,0,0,0,0,0,0,0,0
32,3,618.3333333333334,0,2,0,5,0,0,0,0,0,2
33,1,351.0,0,0,0,7,1,0,0,0,0,0
34,0,,0,0,0,0,0,0,0,0,0,0
50,21,2873.4761904761904,0,6,0,113,3,0,0,0,0,6
51,7,1680.857142857143,0,14,0,9,0,0,0,0,0,14
52,2,1327.5,0,21,0,40,0,0,0,0,0,21
53,0,,0,2,0,2,0,0,0,0,0,2
59,0,,0,0,0,0,0,0,0,0,0,0
60,1,1500.0,2,0,0,24,0,1,0,0,0,0
61,3,1643.6666666666667,0,0,0,2,0,0,0,0,0,0
62,40,2062.75,5,0,0,1,0,2,13,0,0,0
63,0,,0,0,0,0,0,0,4,0,0,0
64,0,,0,0,0,0,0,0,0,0,0,0
78,0,,0,0,0,0,0,0,0,0,0,0
79,2,198.5,0,1,0,2,0,0,2,0,0,1
80,9,2277.4444444444443,0,31,1,72,2,1,6,0,0,32
81,9,1558.0,0,16,0,6,3,0,0,0,0,16
82,0,,0,2,0,1,0,0,0,0,0,2
88,1,2344.0,0,0,0,9,2,0,1,0,0,0
89,1,588.0,0,0,0,15,1,0,1,0,0,0
90,8,1985.125,0,4,0,49,3,0,2,0,0,4
91,1,4999.0,1,4,0,68,2,0,3,0,0,4
92,0,,0,0,0,0,0,0,0,0,0,0
93,0,,0,0,0,0,0,0,0,0,0,0
98,0,,0,0,0,2,0,0,0,0,0,0
99,0,,0,0,0,11,0,0,1,0,0,0
100,0,,0,8,0,170,2,0,2,0,0,8
101,0,,0,12,0,30,2,0,1,0,0,12
102,0,,0,0,0,0,0,0,0,0,0,0
103,0,,0,0,0,1,0,0,0,0,0,0
104,0,,0,5,0,187,0,2,0,0,0,5
105,0,,1,16,0,99,2,0,0,0,0,16
106,0,,0,1,0,2,0,0,0,0,0,1
107,31,2268.3548387096776,6,0,0,55,2,2,11,0,0,0
108,24,2455.7916666666665,2,0,1,14,8,4,71,0,0,1
109,16,787.3125,0,18,0,42,2,1,1,0,0,18
110,0,,0,18,0,7,0,1,0,0,0,18
111,0,,0,0,0,0,0,0,0,0,0,0
117,2,1027.5,0,0,0,3,0,0,1,0,0,0
118,0,,0,5,0,1,0,0,0,0,0,5
119,14,1660.142857142857,0,29,0,4,0,0,1,0,0,29
120,19,2649.7894736842104,3,26,0,99,3,1,16,0,0,26
121,7,1289.5714285714287,0,3,0,0,0,0,0,0,0,3
122,0,,0,0,0,0,0,0,0,0,0,0
123,0,,0,0,0,0,0,0,0,0,0,0
126,0,,0,2,0,9,0,0,1,0,0,2
127,0,,6,9,0,79,2,1,0,0,0,9
128,11,122.36363636363636,2,0,0,267,22,1,5,0,0,0
129,1,448.0,1,2,0,60,2,2,0,0,0,2
130,4,545.75,7,35,0,280,22,0,1,0,0,35
131,57,382.719298245614,45,20,1,433,11,1,0,3,0,24
132,9,259.3333333333333,1,0,0,192,4,1,0,0,0,0
133,0,,1,17,0,55,0,0,0,0,0,17
134,3,194.0,3,52,0,120,3,2,0,0,0,52
135,15,196.0,26,45,1,1003,29,14,3,0,0,46
136,103,1468.4174757281553,3,0,1,208,13,1,9,0,0,1
137,302,1169.8476821192053,9,24,1,352,14,1,25,0,0,25
138,0,,0,10,0,9,0,0,0,0,0,10
139,7,606.7142857142857,0,2,0,107,1,1,0,0,0,2
140,0,,0,0,0,109,0,0,2,0,0,0
141,0,,0,0,0,7,2,0,2,0,0,0
142,0,,0,4,0,166,1,0,1,0,0,4
146,0,,0,0,0,0,0,0,0,0,0,0
147,4,1905.0,0,8,0,10,0,0,1,0,0,8
148,5,1858.8,0,18,0,2,2,0,1,0,0,18
149,22,1035.909090909091,0,22,0,14,0,1,0,0,0,22
150,12,1520.6666666666667,2,14,0,69,4,0,1,0,0,14
151,0,,0,0,0,0,0,0,0,0,0,0
152,0,,0,0,0,0,0,0,0,0,0,0
154,0,,0,2,0,2,0,0,0,0,0,2
155,0,,2,24,0,82,4,1,3,0,0,24
156,0,,1,17,0,95,1,0,5,0,0,17
157,7,169.28571428571428,12,0,3,387,24,8,7,0,0,3
158,33,219.45454545454547,34,18,1,1004,48,7,25,0,0,19
159,6,213.16666666666666,12,2,3,878,4,1,3,0,0,5
