,index,area,title,position,community,total_price,size
0,0,静安区,整租·保德路1010弄 2室0厅 南,彭浦,保德路1010弄,4700.0,49.0
1,1,静安区,整租·柳营路1025弄 2室1厅 南,大宁,柳营路1025弄,6500.0,53.5
2,2,静安区,整租·达安花园 2室2厅 南,曹家渡,达安花园,13500.0,106.41
3,3,静安区,整租·皮裘公寓 1室1厅 南,南京西路,皮裘公寓,7500.0,32.0
4,4,静安区,整租·临汾路1515弄 1室1厅 南,彭浦,临汾路1515弄,3800.0,42.0
5,5,静安区,整租·康悦亚洲花园 2室2厅 南,彭浦,康悦亚洲花园,8500.0,112.05
6,6,静安区,整租·沧州大楼 3室2厅 南,南京西路,沧州大楼,24200.0,136.0
7,7,静安区,整租·慧芝湖花园 3室2厅 南/北,大宁,慧芝湖花园,21000.0,135.26
8,8,静安区,整租·金家巷西弄 1室0厅 南,曹家渡,金家巷西弄,5800.0,35.0
9,9,静安区,整租·新梅共和城 3室2厅 南/北,大宁,新梅共和城,12800.0,126.24
10,10,静安区,整租·柳营路1025弄 1室1厅 南,大宁,柳营路1025弄,4100.0,34.0
11,11,静安区,整租·广中西路818弄 1室2厅 南,大宁,广中西路818弄,5400.0,59.91
12,12,静安区,整租·沪太路651弄 2室0厅 南,大宁,沪太路651弄,5300.0,51.73
13,13,静安区,整租·绿色丽园 1室1厅 南,大宁,绿色丽园,6500.0,43.54
14,14,静安区,整租·南长小区 1室1厅 南,曹家渡,南长小区,6000.0,38.4
15,15,静安区,整租·洛川中路901弄 2室0厅 南/北,大宁,洛川中路901弄,6300.0,50.52
16,16,静安区,整租·静安四季公寓 3室2厅 南,曹家渡,静安四季公寓,16000.0,136.65
17,17,静安区,整租·大宁瑞仕花园 3室2厅 南,大宁,大宁瑞仕花园,16500.0,124.0
18,18,静安区,整租·三和花园 3室2厅 东北,曹家渡,三和花园,19000.0,123.83
19,19,静安区,整租·万航公寓 2室1厅 南,曹家渡,万航公寓,7000.0,49.0
20,20,静安区,整租·四和花园 1室1厅 南/北,曹家渡,四和花园,6200.0,36.0
21,21,静安区,整租·三和花园 1室1厅 南,曹家渡,三和花园,9500.0,75.77
22,22,静安区,整租·静安阳光名都 1室1厅 北,曹家渡,静安阳光名都,6500.0,33.36
23,23,静安区,整租·四和花园 1室0厅 北,曹家渡,四和花园,6000.0,28.0
24,24,静安区,整租·四和花园 1室1厅 南,曹家渡,四和花园,7200.0,39.15
25,25,静安区,整租·蓝朝部落 1室0厅 南,曹家渡,蓝朝部落,6400.0,45.13
26,26,静安区,整租·延平路237弄 1室1厅 南,曹家渡,延平路237弄,6900.0,44.19
27,27,静安区,整租·鸿力公寓 2室2厅 南,曹家渡,鸿力公寓,14500.0,116.0
28,28,静安区,整租·和源名城 2室2厅 南,彭浦,和源名城,7000.0,81.0
29,29,静安区,整租·彭豪公寓 2室1厅 南,彭浦,彭豪公寓,5600.0,71.53
30,30,静安区,整租·金家巷西弄 1室0厅 南,曹家渡,金家巷西弄,5800.0,35.0
31,31,静安区,整租·新梅共和城 3室2厅 南/北,大宁,新梅共和城,12800.0,126.24
32,32,静安区,整租·柳营路1025弄 2室1厅 南,大宁,柳营路1025弄,6500.0,53.5
33,33,静安区,整租·柳营路1025弄 1室1厅 南,大宁,柳营路1025弄,4100.0,34.0
34,34,静安区,整租·达安花园 2室2厅 南,曹家渡,达安花园,13500.0,106.41
35,35,静安区,整租·广中西路818弄 1室2厅 南,大宁,广中西路818弄,5400.0,59.91
36,36,静安区,整租·沪太路651弄 2室0厅 南,大宁,沪太路651弄,5300.0,51.73
37,37,静安区,整租·绿色丽园 1室1厅 南,大宁,绿色丽园,6500.0,43.54
38,38,静安区,整租·南长小区 1室1厅 南,曹家渡,南长小区,6000.0,38.4
39,39,静安区,整租·洛川中路901弄 2室0厅 南/北,大宁,洛川中路901弄,6300.0,50.52
40,40,静安区,整租·静安四季公寓 3室2厅 南,曹家渡,静安四季公寓,16000.0,136.65
41,41,静安区,整租·大宁瑞仕花园 3室2厅 南,大宁,大宁瑞仕花园,16500.0,124.0
42,42,静安区,整租·三和花园 3室2厅 东北,曹家渡,三和花园,19000.0,123.83
43,43,静安区,整租·宝华现代城 3室2厅 南,大宁,宝华现代城,18000.0,140.0
44,44,静安区,整租·平保小区 2室1厅 南/北,彭浦,平保小区,5600.0,45.0
45,45,静安区,整租·大宁金茂府 3室2厅 南/北,大宁,大宁金茂府,24500.0,112.0
46,46,静安区,整租·明园森林都市 3室2厅 南,大宁,明园森林都市,11000.0,88.0
47,47,静安区,整租·童家浜小区 1室1厅 南,大宁,童家浜小区,5500.0,45.5
48,48,静安区,整租·柳营路1025弄 1室1厅 南,大宁,柳营路1025弄,4400.0,31.81
49,49,静安区,整租·慧芝湖花园 2室2厅 南/北,大宁,慧芝湖花园,12500.0,89.0
50,50,静安区,整租·上工新村 1室0厅 南,大宁,上工新村,3999.0,27.85
51,51,静安区,整租·思美公寓 1室1厅 南,彭浦,思美公寓,5800.0,66.48
52,52,静安区,整租·柳营路1025弄 0室0厅 西,大宁,柳营路1025弄,13000.0,90.0
53,53,静安区,整租·上海滩大宁城(公寓) 3室2厅,大宁,上海滩大宁城(公寓),8500.0,93.0
54,54,静安区,整租·洛川中路1100弄 2室1厅 南/北,大宁,洛川中路1100弄,5000.0,43.0
55,55,静安区,整租·柳营路1025弄 2室1厅 南,大宁,柳营路1025弄,6500.0,64.0
56,56,静安区,整租·佳宁花园 4室2厅 南,大宁,佳宁花园,19500.0,206.17
57,57,静安区,整租·运城路315号 2室1厅 南,大宁,运城路315号,9500.0,80.0
58,58,静安区,整租·永乐苑 3室2厅 南/北,大宁,永乐苑,13600.0,131.0
59,59,静安区,整租·歌林春天馨园 1室0厅 南,大宁,歌林春天馨园,4200.0,30.0
60,60,静安区,整租·临汾路1320弄 1室1厅 南,彭浦,临汾路1320弄,3600.0,38.0
61,61,静安区,整租·广茂苑 3室2厅 南,大宁,广茂苑,10300.0,118.0
62,62,静安区,整租·枫景苑 3室2厅 南,大宁,枫景苑,13000.0,132.0
63,63,静安区,整租·保德路1010弄 2室1厅 南,彭浦,保德路1010弄,5000.0,53.0
64,64,静安区,整租·岭南路700弄 1室0厅 南,彭浦,岭南路700弄,3300.0,24.02
65,65,静安区,整租·静安慕舍 4室2厅 南/北,大宁,静安慕舍,25000.0,147.0
66,66,静安区,整租·盛源家豪城 3室2厅 南,大宁,盛源家豪城,15500.0,138.07
67,67,静安区,整租·景凤小区 2室1厅 东南,彭浦,景凤小区,6000.0,59.89
68,68,静安区,整租·慧芝湖花园 2室2厅 东南,大宁,慧芝湖花园,12000.0,91.07
69,69,静安区,整租·明园森林都市 3室2厅 南,大宁,明园森林都市,11500.0,88.4
70,70,静安区,整租·上海滩大宁城(公寓) 3室1厅 南/北,大宁,上海滩大宁城(公寓),12800.0,96.0
71,71,静安区,整租·明园森林都市 3室2厅 南/北,大宁,明园森林都市,12500.0,120.0
72,72,静安区,整租·保平小区 2室1厅 南,彭浦,保平小区,5200.0,65.0
73,73,静安区,整租·和源名城 2室2厅 南,彭浦,和源名城,7000.0,81.0
74,74,静安区,整租·彭豪公寓 2室1厅 南,彭浦,彭豪公寓,5600.0,71.53
75,75,静安区,整租·临汾路1564弄 2室1厅 南/北,彭浦,临汾路1564弄,5000.0,59.0
76,76,静安区,整租·保德公寓 1室2厅 南,彭浦,保德公寓,5000.0,65.12
77,77,静安区,整租·保德公寓 2室1厅 南/北,彭浦,保德公寓,5100.0,55.06
78,78,静安区,整租·广中苑 1室1厅 南,大宁,广中苑,6200.0,62.0
79,79,静安区,整租·申田大楼 1室1厅 南,静安寺,申田大楼,8300.0,52.7
80,80,静安区,整租·花园公寓(静安) 1室1厅 南,南京西路,花园公寓(静安),5000.0,20.0
81,81,静安区,整租·粤秀名邸 2室2厅 南,大宁,粤秀名邸,8200.0,82.0
82,82,静安区,整租·天道俪晶国际公寓 1室1厅 北,不夜城,天道俪晶国际公寓,5000.0,45.62
83,83,静安区,整租·东方公寓(闸北) 3室2厅 南/北,闸北公园,东方公寓(闸北),13800.0,166.0
84,84,静安区,整租·泰兴大楼 1室0厅 南/西,南京西路,泰兴大楼,5300.0,19.61
85,85,静安区,整租·包运大厦 2室1厅 南,西藏北路,包运大厦,7500.0,60.0
86,86,静安区,整租·永和阳光苑 2室2厅 南,阳城,永和阳光苑,8000.0,85.9
87,87,静安区,整租·奔腾新干线 1室1厅 南,西藏北路,奔腾新干线,5500.0,38.51
88,88,静安区,整租·久欣公寓 3室1厅 南,西藏北路,久欣公寓,10000.0,100.0
89,89,静安区,整租·青云路650弄 1室1厅 南,西藏北路,青云路650弄,5500.0,40.0
90,90,静安区,整租·三乐新村 2室0厅 南,江宁路,三乐新村,7500.0,53.0
91,91,静安区,整租·静安河滨花园 3室2厅 南/北,江宁路,静安河滨花园,17000.0,143.0
92,92,静安区,整租·康定路710弄 2室1厅 东/西,江宁路,康定路710弄,8500.0,54.0
93,93,静安区,整租·静安艺庭 1室1厅 东北,江宁路,静安艺庭,9600.0,69.0
94,94,静安区,整租·新丰小区 2室0厅 南,江宁路,新丰小区,7500.0,50.0
95,95,静安区,整租·静安新格公寓 2室1厅 南,江宁路,静安新格公寓,12500.0,100.0
96,96,静安区,整租·静安晶华园 3室2厅 南/北,江宁路,静安晶华园,25000.0,143.0
97,97,静安区,整租·东海园 1室2厅 南,江宁路,东海园,11800.0,72.0
98,98,静安区,整租·海防村 1室1厅 南,江宁路,海防村,6500.0,36.49
99,99,静安区,整租·静安康鑫家园 2室2厅 南,江宁路,静安康鑫家园,18000.0,119.0
100,100,静安区,整租·静安豪景苑 3室2厅 南,江宁路,静安豪景苑,26000.0,141.33
101,101,静安区,整租·静安枫景苑 2室2厅 南/北,江宁路,静安枫景苑,25000.0,117.96
102,102,静安区,整租·海防村 1室0厅 南,江宁路,海防村,5200.0,28.07
103,103,静安区,整租·又一村(静安) 1室0厅 南,江宁路,又一村(静安),7000.0,37.54
104,104,静安区,整租·良清公寓 2室1厅 南/北,江宁路,良清公寓,11000.0,71.0
